split,method,k,cost_bps,sharpe,max_drawdown,mean_abs_position,mean_turnover
test,AE_Jacobian_Dir3,3,0.0,0.8061934949517905,-2.5593897542926927,0.9993346640053227,1.157409557863032
test,PCA_PC3,3,0.0,-0.00258568214318794,-25.90031993736302,0.9993346640053226,1.0093147039254822
train,AE_Jacobian_Dir3,3,0.0,-0.289355509924094,-99.42764837676938,0.9998670743054633,1.121554817656922
train,PCA_PC3,3,0.0,0.00022407396726524366,-3.423615465547931,0.9998670743054632,1.0108999069520135
val,AE_Jacobian_Dir3,3,0.0,0.381639848702104,-0.8245914770937596,0.9986648865153538,1.0708969809630766
val,PCA_PC3,3,0.0,0.2784107366015516,-3.2223272500925377,0.9986648865153537,0.9626168224299064
